"","State","SttFIPS","FIPS","County","Lat","Lon","MinmmTm","MaxmmTm","MenTmpr","Precptt","Percntg","NmbrfIC","SersCmp","BostrDs","SoclAss","Percntl","ArefLnd","AveragH","AvrgH_1","AvrgH_2","Popultn","Prcnt_1","Prcnt_2","Prcnt_3","Prcnt_4","Prcnt_5","Prcnt_6","Prcnt_7","IncmInq","AveragD","Prcnt_8","Prcnt_9","Prcnt10","Poplt_1","Prcnt11","Prcnt12","Prcnt13","Prcnt14","DntstsR","Cases","Deaths","C_P_100","D_P_100","PrmryCr","PrcntgS","Prcn_15","Dmgrph1","Dmgrph2","Sccnmc1","Sccnmc2","Epdmlgc","Helthcr","Vaccntn","HsngCnd","Envrnmn"
"1","Alabama",1,1001,"Autauga",32.5349,-86.6427,36.3,98.1,72.36428571,0.192348178,16,6,44,32.4,12.2,0.3773,1539602123,2.59,2.59,2.6,35.85341899,17,37,42,90,60,2.8,16,4.8,10,14,11,13,59095,20.7,3.3,51.4,48.6,32,15744,213,0.432711715608702,-0.040739603120601,47,18,0.500963391136802,0.48142504106917,-0.102594598393059,-0.590517139415688,-0.353304797941385,0.320121337841071,0.476113562524858,1.09583488594562,0.853649674433413,2.71249675002462
"2","Alabama",1,1003,"Baldwin",30.7275,-87.7226,49.8,93.9,75.78296943,0,21.5,51,50.7,35,10.5,0.2757,4117546676,2.61,2.66,2.48,50.54150356,15,33,47,91,66,3,16,4.3,7.6,12,10,11,239294,8.4,4.8,51.3,48.7,48,55489,677,-0.183114783087328,-0.523221199853146,70,17,0.482490272373541,0.839321754551697,-0.198130868504663,-0.9257873207863,-0.649906755268612,-0.762887556031868,-0.360221094074221,0.392410262995165,-0.135379515833243,1.62411450655
"3","Alabama",1,1005,"Barbour",31.8696,-85.3932,30.9,94.1,71.27420814,0.142352941,20,5,45.2,32.9,7.6,0.9847,2292144655,2.49,2.44,2.58,11.24798121,28,46,40,76,39,5.7,35,5.2,9.4,16,16,10,24964,47.4,5,46.7,53.3,32,5658,98,-0.276560565585095,0.15922568438783,32,26,0.51394422310757,-1.31839811023883,1.1047831529723,2.00305749759037,2.77601841653947,4.09797601110015,0.817307492673509,1.1672329134117,1.05984240512408,1.6251036816294
"4","Alabama",1,1007,"Bibb",32.9986,-87.1265,36,96.1,70.3898374,0.135325203,16.7,0,34.7,34.4,8.5,0.5737,1612167481,2.99,3.05,2.81,13.973114,22,38,34,81,37,3.5,29,5,9.8,11,12,9,22477,21.3,3.1,46,54,27,6422,101,0.776821740204915,0.512635922315637,54,23,0.479522184300341,-1.88028283131387,-0.054872175093018,0.814511394493652,2.13123533465033,1.31953915830572,0.41306278651448,1.84980048033058,-0.717281929240883,2.03839974108871
"5","Alabama",1,1009,"Blount",33.9809,-86.5674,28.6,92.3,66.29444444,0.16468254,18.7,6,31.6,33.1,7.8,0.4986,1670103911,2.77,2.85,2.48,34.51581642,18,33,42,84,57,2.4,17,4.8,9.6,10,11,8,59041,1.6,9.9,50.2,49.8,17,14929,239,0.190885416581287,0.235394469268509,21,22,0.465290806754221,0.138249695380316,-0.261306250529569,-0.636136878958786,0.879151176191676,-0.209041353422154,1.34993300127675,1.51154946971629,-1.27077837892066,1.3324875485054
"6","Alabama",1,1011,"Bullock",32.1005,-85.7157,34,98.1,73.13688525,0.146333333,17.6,0,53.3,31.2,7.9,0.9363,1613059160,2.75,2.71,2.88,6.41761955,30,48,32,78,36,4,42,6.3,9.3,13,18,19,10320,68.2,9.1,44.6,55.4,19,2304,53,-0.337025753242691,0.912319104984611,30,26,0.51520572450805,-2.43473946961075,1.95825919216561,2.9865644759819,2.66996444167293,5.06615807944465,1.10939560010582,1.49427981640885,1.71351769224114,2.18205525417716
"7","Alabama",1,1013,"Butler",31.7524,-86.6803,34,97,72.68634538,0.142282158,21.2,7,39.4,32,9.7,0.9166,2012002530,2.94,2.89,3.04,9.952770785,23,45,34,86,41,5.3,34,5.3,9.1,12,14,9,18884,44.7,1.7,53.4,46.6,37,5052,129,0.452499441318923,1.9675912906518,25,22,0.512647554806071,1.76225371203369,0.643127564919218,1.9066723947978,1.28193012175994,2.96382998946665,0.880048407504159,1.82331806003188,0.238789223624801,1.99238601664736
"8","Alabama",1,1015,"Calhoun",33.7714,-85.826,30,97,69.85603113,0.108577075,18.5,24,46.8,35.4,14.3,0.816,1569189622,2.49,2.47,2.52,73.348688,20,37,39,85,55,4.1,25,4.8,9.7,12,12,11,115972,21.3,4.2,51.6,48.4,66,32355,620,0.656900451854035,1.04330637051789,64,21,0.50501002004008,0.742153324519642,0.167716614355977,0.457413259915838,0.343001554085044,0.861053038466458,-0.558987148305956,1.02211032409994,0.254714668574312,1.64203436465566
"9","Alabama",1,1019,"Cherokee",34.1759,-85.6038,28.4,93.4,66.57670683,0,24,0,30.6,38,8.5,0.419,1433623321,2.41,2.44,2.3,18.0333283,19,41,47,80,50,2.5,27,4.8,9.5,9,11,8,24996,4.1,1.9,50.2,49.8,16,5115,85,-0.669138632072247,-0.167595860929013,38,23,0.485232067510548,0.550011074811108,-0.686514682247152,0.187848861298768,1.66881475699649,1.20772007488344,0.987090353923463,0.948091512138896,-1.04026795107921,0.429965742254619
"10","Alabama",1,1021,"Chilton",32.8479,-86.7188,30,95.2,69.2234127,0.171825397,17.5,6,36.3,32.4,14.9,0.744,1794477075,2.6,2.6,2.59,24.48066939,20,38,41,82,44,2.9,22,4.1,9.9,15,11,10,45274,9.9,8.1,50.7,49.3,29,11060,202,0.038091223886372,0.492868707643742,23,22,0.499036608863199,0.278387114407618,-0.093297681263461,-0.60768891488021,1.16553304744588,0.853641078857333,1.0775916837024,1.4392526891501,0.547455978549669,1.85219985461417
